Time,wsteth,wbtc,sfrxeth,weth
17432225,0,,137,
17437586,18,,138,
17442947,28,,143,
17448308,36,,145,
17453669,78,,146,
17459030,95,,151,
17464391,110,,151,
17469753,123,,146,
17475114,136,,143,
17480475,146,,141,
17485836,156,,137,
17491197,177,,135,
17496558,190,,132,
17501920,196,,131,
17507281,201,,132,
17512642,206,,132,
17518003,210,,131,
17523364,218,,136,
17528725,224,,133,
17534087,225,,133,
17539448,231,,132,
17544809,232,,133,
17550170,235,,128,
17555531,237,,128,
17560892,240,6.0,127,
17566254,250,10.0,126,4.0
17571615,254,11.0,125,6.0
17576976,254,14.0,125,9.0
17582337,258,16.0,125,11.0
17587698,261,19.0,125,12.0
17593059,264,22.0,126,16.0
17598421,264,24.0,125,18.0
17603782,265,26.0,126,18.0
17609143,270,28.0,125,21.0
17614504,268,32.0,125,23.0
17619865,269,35.0,126,24.0
17625226,270,35.0,125,25.0
17630587,269,37.0,124,24.0
17635949,271,38.0,124,24.0
17641310,271,43.0,126,26.0
17646671,273,47.0,127,28.0
17652032,282,48.0,134,29.0
17657393,293,50.0,136,29.0
17662754,301,55.0,137,29.0
17668116,309,60.0,136,29.0
17673477,312,61.0,136,29.0
17678838,312,63.0,136,30.0
17684199,312,65.0,136,30.0
17689560,312,66.0,136,30.0
17694921,313,69.0,135,32.0
17700283,313,69.0,135,32.0
17705644,312,69.0,135,34.0
17711005,313,73.0,134,33.0
17716366,312,73.0,134,34.0
17721727,312,73.0,133,35.0
17727088,313,74.0,134,35.0
17732450,318,77.0,134,39.0
17737811,319,80.0,135,41.0
17743172,323,79.0,137,44.0
17748533,324,78.0,136,48.0
17753894,322,78.0,136,50.0
17759255,326,81.0,136,51.0
17764617,323,81.0,136,53.0
17769978,326,84.0,136,54.0
17775339,326,84.0,137,52.0
17780700,328,87.0,136,54.0
17786061,329,88.0,137,56.0
17791422,332,88.0,137,57.0
17796783,335,91.0,137,57.0
17802145,343,95.0,135,60.0
17807506,352,99.0,137,62.0
17812867,352,92.0,132,63.0
17818228,347,92.0,129,67.0
17823589,342,91.0,127,67.0
17828950,341,89.0,124,67.0
17834312,346,89.0,121,68.0
17839673,345,92.0,121,68.0
17845034,347,92.0,121,67.0
17850395,350,92.0,121,67.0
17855756,347,93.0,121,68.0
17861117,349,93.0,120,70.0
17866479,351,98.0,120,72.0
17871840,352,102.0,120,76.0
17877201,353,104.0,120,75.0
17882562,358,105.0,120,76.0
17887923,362,106.0,119,77.0
17893284,364,107.0,119,79.0
17898646,366,109.0,118,80.0
17904007,368,110.0,118,80.0
17909368,367,110.0,117,81.0
17914729,371,112.0,117,81.0
17920090,377,120.0,123,89.0
17925451,378,122.0,126,92.0
17930813,384,125.0,126,94.0
17936174,386,127.0,129,95.0
17941535,347,127.0,127,83.0
17946896,361,128.0,131,85.0
17952257,376,133.0,131,90.0
17957618,381,138.0,131,94.0
17437633,18,,138,
17443041,28,,144,
17448450,40,,144,
17453858,78,,146,
17459266,95,,151,
17464675,110,,151,
17470083,123,,146,
17475491,136,,143,
17480900,136,,134,
17486308,157,,137,
17491716,180,,134,
17497125,190,,132,
17502533,196,,131,
17507941,202,,132,
17513350,206,,132,
17518758,211,,132,
17524167,220,,136,
17529575,223,,133,
17534983,227,,132,
17540392,233,,132,
17545800,232,,132,
17551208,236,,128,
17556617,239,,128,
17562025,240,6.0,127,
17567433,251,10.0,126,4.0
17572842,253,12.0,126,7.0
17578250,256,15.0,125,11.0
17583658,257,16.0,125,12.0
17589067,262,19.0,125,12.0
17594475,263,23.0,126,17.0
17599883,264,26.0,124,18.0
17605292,266,27.0,126,20.0
17610700,267,29.0,124,21.0
17616109,268,33.0,126,23.0
17621517,269,35.0,126,25.0
17626925,269,35.0,125,24.0
17632334,270,37.0,124,24.0
17637742,271,39.0,125,24.0
17643150,271,45.0,126,27.0
17648559,278,48.0,130,28.0
17653967,286,48.0,135,29.0
17659375,294,51.0,136,29.0
17664784,309,58.0,135,29.0
17670192,311,60.0,136,29.0
17675600,311,63.0,136,29.0
17681009,312,64.0,136,30.0
17686417,314,66.0,136,29.0
17691825,311,67.0,135,31.0
17697234,311,67.0,135,32.0
17702642,314,69.0,135,33.0
17708051,312,72.0,135,33.0
17713459,312,73.0,134,34.0
17718867,311,74.0,133,33.0
17724276,313,73.0,133,34.0
17729684,316,74.0,134,36.0
17735092,320,80.0,135,41.0
17740501,320,81.0,137,43.0
17745909,323,77.0,137,45.0
17751317,324,78.0,136,50.0
17756726,325,79.0,136,51.0
17762134,327,82.0,136,52.0
17767542,324,82.0,136,54.0
17772951,326,84.0,137,53.0
17778359,328,86.0,136,53.0
17783767,327,88.0,137,55.0
17789176,330,88.0,137,57.0
17794584,332,90.0,137,57.0
17799993,340,94.0,136,58.0
17805401,351,97.0,136,61.0
17810809,348,93.0,130,63.0
17816218,345,91.0,129,64.0
17821626,346,92.0,128,67.0
17827034,341,89.0,124,67.0
17832443,344,89.0,123,68.0
17437628,18,,138,
17443031,28,,144,
17448435,40,,144,
17453838,78,,146,
17459242,95,,151,
17464645,110,,151,
17470049,123,,146,
17475452,136,,143,
17480856,135,,134,
17486259,157,,137,
17491662,180,,134,
17497066,190,,132,
17502469,196,,131,
17507873,202,,132,
17513276,206,,132,
17518680,211,,132,
17524083,219,,136,
17529487,223,,133,
17534890,227,,132,
17540293,233,,132,
17545697,232,,132,
17551100,236,,128,
17556504,239,,128,
17561907,240,6.0,127,
17567311,251,10.0,126,4.0
17572714,253,12.0,126,7.0
17578118,256,15.0,125,11.0
17583521,257,16.0,125,12.0
17588924,262,19.0,125,12.0
17594328,263,23.0,126,16.0
17599731,264,26.0,124,18.0
17605135,267,27.0,126,20.0
17610538,267,29.0,124,21.0
17615942,268,33.0,126,23.0
17621345,269,35.0,126,25.0
17626749,269,35.0,125,24.0
17632152,270,37.0,124,24.0
17637555,271,39.0,125,24.0
17642959,271,45.0,126,27.0
17648362,278,48.0,130,28.0
17653766,285,48.0,135,29.0
17659169,294,51.0,136,29.0
17664573,309,58.0,136,29.0
17669976,311,60.0,136,29.0
17675380,311,62.0,136,29.0
17680783,312,64.0,136,30.0
17686186,314,66.0,136,30.0
17691590,311,67.0,135,31.0
17696993,311,69.0,135,32.0
17702397,314,69.0,135,33.0
17707800,312,72.0,135,33.0
17713204,312,73.0,134,34.0
17718607,310,74.0,133,33.0
17724011,313,73.0,133,34.0
17729414,315,74.0,134,36.0
17734817,319,80.0,135,41.0
17740221,321,81.0,137,43.0
17745624,323,78.0,137,45.0
17751028,324,78.0,136,50.0
17756431,325,79.0,136,50.0
17761835,327,82.0,136,51.0
17767238,324,82.0,136,54.0
17772642,325,84.0,137,53.0
17778045,328,85.0,136,53.0
17783448,327,88.0,137,55.0
17788852,330,88.0,137,56.0
17794255,332,90.0,137,57.0
17799659,339,94.0,136,58.0
17805062,351,97.0,135,60.0
17810466,348,92.0,130,63.0
17815869,344,91.0,128,63.0
17821273,346,91.0,128,67.0
17826676,341,89.0,124,67.0
17832079,343,89.0,123,68.0
17837483,345,90.0,121,68.0
17842886,347,91.0,121,67.0
17848290,347,91.0,121,67.0
17853693,348,93.0,121,67.0
17859097,348,93.0,120,69.0
17864500,350,98.0,120,71.0
17869904,351,101.0,120,75.0
17875307,354,103.0,120,75.0
17880710,356,105.0,120,75.0
17886114,361,106.0,119,77.0
17891517,363,107.0,119,79.0
17896921,366,107.0,118,80.0
17902324,368,110.0,118,80.0
17907728,367,110.0,117,80.0
17913131,370,112.0,117,81.0
17918535,376,116.0,121,88.0
17923938,378,121.0,123,92.0
17929341,383,124.0,126,94.0
17934745,385,126.0,129,96.0
17940148,346,126.0,125,83.0
17945552,354,126.0,131,85.0
17950955,373,133.0,131,89.0
17956359,379,136.0,131,94.0
17961762,389,143.0,131,93.0
17967166,393,143.0,130,92.0
17437615,18,,138,
17443006,28,,144,
17448397,40,,144,
17453788,78,,146,
17459179,95,,151,
17464570,110,,151,
17469961,123,,146,
17475352,136,,143,
17480743,134,,135,
17486134,157,,137,
17491525,180,,134,
17496916,190,,132,
17502307,196,,131,
17507698,202,,132,
17513089,206,,132,
17518480,211,,131,
17523871,219,,136,
17529262,224,,133,
17534653,227,,133,
17540043,232,,132,
17545434,232,,132,
17550825,236,,128,
17556216,239,,128,
17561607,240,6.0,127,
17566998,251,10.0,126,4.0
17572389,253,11.0,126,6.0
17577780,256,15.0,125,11.0
17583171,257,16.0,125,11.0
17588562,261,19.0,125,12.0
17593953,263,23.0,126,16.0
17599344,264,25.0,124,18.0
17604735,267,27.0,126,20.0
17610126,267,29.0,124,21.0
17615517,268,33.0,126,23.0
17620908,269,35.0,126,25.0
17626299,269,35.0,125,24.0
17631690,270,37.0,124,24.0
17637081,272,39.0,125,24.0
17642472,271,45.0,126,27.0
17647862,277,47.0,129,28.0
17653253,284,48.0,135,29.0
17658644,294,51.0,136,29.0
17664035,309,58.0,137,29.0
17669426,311,60.0,136,29.0
17674817,311,62.0,136,29.0
17680208,312,63.0,136,30.0
17685599,314,66.0,136,30.0
17690990,311,67.0,135,31.0
17696381,311,69.0,135,32.0
17701772,314,69.0,135,33.0
17707163,312,71.0,135,33.0
17712554,313,73.0,134,33.0
17717945,312,74.0,134,34.0
17723336,312,73.0,133,34.0
17728727,316,74.0,134,36.0
17734118,319,79.0,135,41.0
17739509,321,81.0,137,42.0
17744900,323,78.0,137,44.0
17750291,324,78.0,136,49.0
17755681,324,77.0,135,50.0
17761072,326,82.0,136,51.0
17766463,324,82.0,136,54.0
17771854,326,84.0,137,54.0
17777245,328,84.0,136,52.0
17782636,328,88.0,136,55.0
17788027,330,88.0,137,56.0
17793418,332,90.0,137,57.0
17798809,338,93.0,136,58.0
17804200,347,96.0,135,60.0
17809591,349,93.0,131,62.0
17814982,353,92.0,131,63.0
17820373,345,92.0,128,67.0
17825764,342,89.0,127,66.0
17831155,343,89.0,124,68.0
17836546,345,89.0,121,68.0
